Volume,Page,Panels
AGOT01,3,6
AGOT01,4,5
AGOT01,5,5
AGOT01,6,1
AGOT01,7,5
AGOT01,8,5
AGOT01,9,5
AGOT01,10,2
AGOT01,11,4
AGOT01,12,5
AGOT01,13,5
AGOT01,14,3
AGOT01,15,5
AGOT01,16,4
AGOT01,17,5
AGOT01,18,6
AGOT01,19,2
AGOT01,20,4
AGOT01,21,4
AGOT01,22,4
AGOT01,23,5
AGOT01,24,5
AGOT01,25,5
AGOT01,26,4
AGOT01,27,5
AGOT01,28,5
AGOT01,29,4
AGOT01,30,4
AGOT01,31,3
AGOT02,3,1
AGOT02,4,5
AGOT02,5,4
AGOT02,6,4
AGOT02,7,5
AGOT02,8,5
AGOT02,9,5
AGOT02,10,4
AGOT02,11,4
AGOT02,12,2
AGOT02,13,5
AGOT02,14,5
AGOT02,15,5
AGOT02,16,6
AGOT02,17,5
AGOT02,18,7
AGOT02,19,5
AGOT02,20,5
AGOT02,21,1
AGOT02,22,4
AGOT02,23,5
AGOT02,24,5
AGOT02,25,5
AGOT02,26,6
AGOT02,27,5
AGOT02,28,4
AGOT02,29,5
AGOT02,30,5
AGOT02,31,1
AGOT03,3,4
AGOT03,4,5
AGOT03,5,5
AGOT03,6,4
AGOT03,7,4
AGOT03,8,3
AGOT03,9,5
AGOT03,10,4
AGOT03,11,4
AGOT03,12,3
AGOT03,13,5
AGOT03,14,7
AGOT03,15,4
AGOT03,16,1
AGOT03,17,5
AGOT03,18,6
AGOT03,19,3
AGOT03,20,5
AGOT03,21,5
AGOT03,22,5
AGOT03,23,6
AGOT03,24,1
AGOT03,25,4
AGOT03,26,4
AGOT03,27,5
AGOT03,28,6
AGOT03,29,5
AGOT03,30,5
AGOT03,31,5
AGOT04,3,4
AGOT04,4,5
AGOT04,5,6
AGOT04,6,6
AGOT04,7,6
AGOT04,8,6
AGOT04,9,6
AGOT04,10,4
AGOT04,11,5
AGOT04,12,5
AGOT04,13,6
AGOT04,14,4
AGOT04,15,3
AGOT04,16,5
AGOT04,17,5
AGOT04,18,6
AGOT04,19,6
AGOT04,20,4
AGOT04,21,6
AGOT04,22,6
AGOT04,23,6
AGOT04,24,5
AGOT04,25,4
AGOT04,26,5
AGOT04,27,3
AGOT04,28,6
AGOT04,29,5
AGOT04,30,6
AGOT04,31,4
AGOT05,3,5
AGOT05,4,5
AGOT05,5,6
AGOT05,6,6
AGOT05,7,6
AGOT05,8,5
AGOT05,9,6
AGOT05,10,5
AGOT05,11,5
AGOT05,12,5
AGOT05,13,2
AGOT05,14,5
AGOT05,15,5
AGOT05,16,6
AGOT05,17,6
AGOT05,18,4
AGOT05,19,6
AGOT05,20,3
AGOT05,21,5
AGOT05,22,5
AGOT05,23,5
AGOT05,24,6
AGOT05,25,5
AGOT05,26,3
AGOT05,27,3
AGOT05,28,4
AGOT05,29,6
AGOT05,30,4
AGOT05,31,5
AGOT06,3,3
AGOT06,4,4
AGOT06,5,4
AGOT06,6,4
AGOT06,7,5
AGOT06,8,6
AGOT06,9,6
AGOT06,10,6
AGOT06,11,4
AGOT06,12,4
AGOT06,13,3
AGOT06,14,6
AGOT06,15,6
AGOT06,16,5
AGOT06,17,4
AGOT06,18,5
AGOT06,19,5
AGOT06,20,4
AGOT06,21,1
AGOT06,22,4
AGOT06,23,4
AGOT06,24,5
AGOT06,25,3
AGOT06,26,4
AGOT06,27,6
AGOT06,28,4
AGOT06,29,4
AGOT06,30,5
AGOT06,31,4
AGOT07,3,5
AGOT07,4,5
AGOT07,5,5
AGOT07,6,5
AGOT07,7,5
AGOT07,8,1
AGOT07,9,5
AGOT07,10,6
AGOT07,11,6
AGOT07,12,5
AGOT07,13,5
AGOT07,14,5
AGOT07,15,5
AGOT07,16,5
AGOT07,17,5
AGOT07,18,5
AGOT07,19,5
AGOT07,20,6
AGOT07,21,3
AGOT07,22,6
AGOT07,23,4
AGOT07,24,5
AGOT07,25,4
AGOT07,26,5
AGOT07,27,5
AGOT07,28,6
AGOT07,29,5
AGOT07,30,6
AGOT08,3,5
AGOT08,4,5
AGOT08,5,5
AGOT08,6,3
AGOT08,7,5
AGOT08,8,5
AGOT08,9,5
AGOT08,10,4
AGOT08,11,5
AGOT08,12,5
AGOT08,13,5
AGOT08,14,5
AGOT08,15,6
AGOT08,16,6
AGOT08,17,4
AGOT08,18,6
AGOT08,19,5
AGOT08,20,5
AGOT08,21,6
AGOT08,22,5
AGOT08,23,4
AGOT08,24,4
AGOT08,25,4
AGOT08,26,5
AGOT08,27,4
AGOT08,28,1
AGOT08,29,4
AGOT08,30,5
AGOT08,31,4
AGOT09,3,5
AGOT09,4,4
AGOT09,5,5
AGOT09,6,6
AGOT09,7,5
AGOT09,8,1
AGOT09,9,3
AGOT09,10,4
AGOT09,11,5
AGOT09,12,4
AGOT09,13,5
AGOT09,14,5
AGOT09,15,5
AGOT09,16,5
AGOT09,17,5
AGOT09,18,4
AGOT09,19,4
AGOT09,20,4
AGOT09,21,6
AGOT09,22,5
AGOT09,23,6
AGOT09,24,5
AGOT09,25,5
AGOT09,26,5
AGOT09,27,6
AGOT09,28,3
AGOT09,29,5
AGOT09,30,6
AGOT09,31,5
AGOT10,3,4
AGOT10,4,4
AGOT10,5,5
AGOT10,6,4
AGOT10,7,6
AGOT10,8,4
AGOT10,9,6
AGOT10,10,1
AGOT10,11,5
AGOT10,12,5
AGOT10,13,6
AGOT10,14,4
AGOT10,15,4
AGOT10,16,4
AGOT10,17,5
AGOT10,18,3
AGOT10,19,5
AGOT10,20,4
AGOT10,21,6
AGOT10,22,5
AGOT10,23,5
AGOT10,24,5
AGOT10,25,5
AGOT10,26,6
AGOT10,27,5
AGOT10,28,5
AGOT10,29,4
AGOT10,30,4
AGOT10,31,4
AGOT11,3,4
AGOT11,4,3
AGOT11,5,5
AGOT11,6,3
AGOT11,7,6
AGOT11,8,6
AGOT11,9,1
AGOT11,10,5
AGOT11,11,4
AGOT11,12,4
AGOT11,13,4
AGOT11,14,4
AGOT11,15,3
AGOT11,16,4
AGOT11,17,3
AGOT11,18,5
AGOT11,19,4
AGOT11,20,5
AGOT11,21,4
AGOT11,22,1
AGOT11,23,4
AGOT11,24,5
AGOT11,25,5
AGOT11,26,4
AGOT11,27,5
AGOT11,28,5
AGOT11,29,4
AGOT11,30,5
AGOT11,31,3
AGOT12,3,3
AGOT12,4,5
AGOT12,5,4
AGOT12,6,5
AGOT12,7,5
AGOT12,8,4
AGOT12,9,5
AGOT12,10,4
AGOT12,11,6
AGOT12,12,6
AGOT12,13,5
AGOT12,14,5
AGOT12,15,5
AGOT12,16,5
AGOT12,17,3
AGOT12,18,5
AGOT12,19,6
AGOT12,20,5
AGOT12,21,3
AGOT12,22,4
AGOT12,23,4
AGOT12,24,5
AGOT12,25,5
AGOT12,26,4
AGOT12,27,5
AGOT12,28,5
AGOT12,29,5
AGOT12,30,5
AGOT12,31,1
AGOT13,3,4
AGOT13,4,5
AGOT13,5,4
AGOT13,6,6
AGOT13,7,5
AGOT13,8,4
AGOT13,9,5
AGOT13,10,3
AGOT13,11,4
AGOT13,12,5
AGOT13,13,4
AGOT13,14,1
AGOT13,15,4
AGOT13,16,4
AGOT13,17,5
AGOT13,18,5
AGOT13,19,2
AGOT13,20,5
AGOT13,21,4
AGOT13,22,5
AGOT13,23,5
AGOT13,24,3
AGOT13,25,5
AGOT13,26,4
AGOT13,27,4
AGOT13,28,5
AGOT13,29,6
AGOT13,30,5
AGOT13,31,3
AGOT14,3,1
AGOT14,4,6
AGOT14,5,5
AGOT14,6,4
AGOT14,7,4
AGOT14,8,5
AGOT14,9,4
AGOT14,10,6
AGOT14,11,5
AGOT14,12,3
AGOT14,13,5
AGOT14,14,5
AGOT14,15,6
AGOT14,16,3
AGOT14,17,6
AGOT14,18,5
AGOT14,19,5
AGOT14,20,6
AGOT14,21,6
AGOT14,22,3
AGOT14,23,5
AGOT14,24,4
AGOT14,25,5
AGOT14,26,5
AGOT14,27,3
AGOT14,28,4
AGOT14,29,5
AGOT14,30,6
AGOT14,31,4
AGOT15,3,1
AGOT15,4,5
AGOT15,5,5
AGOT15,6,5
AGOT15,7,5
AGOT15,8,6
AGOT15,9,4
AGOT15,10,4
AGOT15,11,4
AGOT15,12,4
AGOT15,13,6
AGOT15,14,5
AGOT15,15,6
AGOT15,16,5
AGOT15,17,4
AGOT15,18,4
AGOT15,19,6
AGOT15,20,5
AGOT15,21,4
AGOT15,22,3
AGOT15,23,5
AGOT15,24,4
AGOT15,25,4
AGOT15,26,6
AGOT15,27,5
AGOT15,28,5
AGOT15,29,4
AGOT15,30,5
AGOT15,31,3
AGOT16,3,2
AGOT16,4,4
AGOT16,5,6
AGOT16,6,5
AGOT16,7,5
AGOT16,8,2
AGOT16,9,2
AGOT16,10,5
AGOT16,11,5
AGOT16,12,4
AGOT16,13,4
AGOT16,14,3
AGOT16,15,5
AGOT16,16,5
AGOT16,17,5
AGOT16,18,5
AGOT16,19,7
AGOT16,20,4
AGOT16,21,4
AGOT16,22,4
AGOT16,23,5
AGOT16,24,4
AGOT16,25,5
AGOT16,26,4
AGOT16,27,5
AGOT16,28,6
AGOT16,29,6
AGOT16,30,5
AGOT16,31,4
AGOT17,3,4
AGOT17,4,5
AGOT17,5,5
AGOT17,6,4
AGOT17,7,3
AGOT17,8,6
AGOT17,9,5
AGOT17,10,6
AGOT17,11,6
AGOT17,12,6
AGOT17,13,5
AGOT17,14,4
AGOT17,15,5
AGOT17,16,5
AGOT17,17,5
AGOT17,18,6
AGOT17,19,6
AGOT17,20,7
AGOT17,21,6
AGOT17,22,4
AGOT17,23,6
AGOT17,24,4
AGOT17,25,5
AGOT17,26,6
AGOT17,27,4
AGOT17,28,5
AGOT17,29,6
AGOT17,30,5
AGOT17,31,4
AGOT18,3,4
AGOT18,4,1
AGOT18,5,4
AGOT18,6,5
AGOT18,7,5
AGOT18,8,5
AGOT18,9,5
AGOT18,10,4
AGOT18,11,4
AGOT18,12,5
AGOT18,13,5
AGOT18,14,3
AGOT18,15,5
AGOT18,16,5
AGOT18,17,5
AGOT18,18,5
AGOT18,19,6
AGOT18,20,5
AGOT18,21,6
AGOT18,22,5
AGOT18,23,4
AGOT18,24,3
AGOT18,25,5
AGOT18,26,5
AGOT18,27,5
AGOT18,28,6
AGOT18,29,6
AGOT18,30,5
AGOT18,31,6
AGOT19,3,3
AGOT19,4,5
AGOT19,5,4
AGOT19,6,4
AGOT19,7,4
AGOT19,8,3
AGOT19,9,5
AGOT19,10,5
AGOT19,11,6
AGOT19,12,5
AGOT19,13,5
AGOT19,14,5
AGOT19,15,6
AGOT19,16,3
AGOT19,17,5
AGOT19,18,3
AGOT19,19,4
AGOT19,20,5
AGOT19,21,5
AGOT19,22,5
AGOT19,23,5
AGOT19,24,6
AGOT19,25,4
AGOT19,26,4
AGOT19,27,5
AGOT19,28,5
AGOT19,29,5
AGOT19,30,2
AGOT20,3,1
AGOT20,4,4
AGOT20,5,5
AGOT20,6,5
AGOT20,7,5
AGOT20,8,6
AGOT20,9,4
AGOT20,10,2
AGOT20,11,4
AGOT20,12,4
AGOT20,13,4
AGOT20,14,5
AGOT20,15,6
AGOT20,16,5
AGOT20,17,4
AGOT20,18,6
AGOT20,19,5
AGOT20,20,6
AGOT20,21,5
AGOT20,22,4
AGOT20,23,5
AGOT20,24,4
AGOT20,25,5
AGOT20,26,5
AGOT20,27,5
AGOT20,28,5
AGOT20,29,6
AGOT20,30,5
AGOT20,31,6
AGOT21,3,6
AGOT21,4,7
AGOT21,5,3
AGOT21,6,5
AGOT21,7,4
AGOT21,8,5
AGOT21,9,4
AGOT21,10,5
AGOT21,11,4
AGOT21,12,7
AGOT21,13,6
AGOT21,14,3
AGOT21,15,5
AGOT21,16,5
AGOT21,17,5
AGOT21,18,5
AGOT21,19,4
AGOT21,20,5
AGOT21,21,5
AGOT21,22,4
AGOT21,23,6
AGOT21,24,6
AGOT21,25,5
AGOT21,26,4
AGOT21,27,6
AGOT21,28,6
AGOT21,29,6
AGOT21,30,1
AGOT22,3,2
AGOT22,4,5
AGOT22,5,4
AGOT22,6,6
AGOT22,7,5
AGOT22,8,5
AGOT22,9,6
AGOT22,10,4
AGOT22,11,1
AGOT22,12,6
AGOT22,13,4
AGOT22,14,5
AGOT22,15,7
AGOT22,16,4
AGOT22,17,4
AGOT22,18,6
AGOT22,19,4
AGOT22,20,5
AGOT22,21,5
AGOT22,22,4
AGOT22,23,5
AGOT22,24,6
AGOT22,25,6
AGOT22,26,5
AGOT22,27,5
AGOT22,28,5
AGOT22,29,4
AGOT22,30,5
AGOT22,31,3
AGOT23,3,5
AGOT23,4,6
AGOT23,5,4
AGOT23,6,5
AGOT23,7,6
AGOT23,8,4
AGOT23,9,5
AGOT23,10,4
AGOT23,11,5
AGOT23,12,5
AGOT23,13,4
AGOT23,14,6
AGOT23,15,1
AGOT23,16,6
AGOT23,17,5
AGOT23,18,6
AGOT23,19,6
AGOT23,20,6
AGOT23,21,4
AGOT23,22,6
AGOT23,23,6
AGOT23,24,5
AGOT23,25,6
AGOT23,26,5
AGOT23,27,4
AGOT23,28,5
AGOT23,29,6
AGOT23,30,4
AGOT23,31,5
AGOT24,3,5
AGOT24,4,6
AGOT24,5,5
AGOT24,6,5
AGOT24,7,6
AGOT24,8,5
AGOT24,9,5
AGOT24,10,6
AGOT24,11,5
AGOT24,12,6
AGOT24,13,4
AGOT24,14,6
AGOT24,15,5
AGOT24,16,5
AGOT24,17,4
AGOT24,18,3
AGOT24,19,6
AGOT24,20,6
AGOT24,21,4
AGOT24,22,5
AGOT24,23,6
AGOT24,24,6
AGOT24,25,4
AGOT24,26,4
AGOT24,27,6
AGOT24,28,6
AGOT24,29,4
AGOT24,30,6
AGOT24,31,4
ACOK01,6,5
ACOK01,7,5
ACOK01,8,5
ACOK01,9,5
ACOK01,10,6
ACOK01,11,5
ACOK01,12,5
ACOK01,13,6
ACOK01,14,6
ACOK01,15,2
ACOK01,16,4
ACOK01,17,5
ACOK01,18,5
ACOK01,19,6
ACOK01,20,5
ACOK01,21,3
ACOK01,22,5
ACOK01,23,2
ACOK01,24,5
ACOK01,25,6
ACOK01,26,6
ACOK02,4,6
ACOK02,5,4
ACOK02,6,6
ACOK02,7,6
ACOK02,8,6
ACOK02,9,5
ACOK02,10,6
ACOK02,11,5
ACOK02,12,6
ACOK02,13,6
ACOK02,14,6
ACOK02,15,5
ACOK02,16,5
ACOK02,17,2
ACOK02,18,4
ACOK02,19,6
ACOK02,20,6
ACOK02,21,6
ACOK02,22,6
ACOK02,23,6
ACOK02,24,6
ACOK03,4,5
ACOK03,5,6
ACOK03,6,3
ACOK03,7,4
ACOK03,8,5
ACOK03,9,6
ACOK03,10,5
ACOK03,11,4
ACOK03,12,7
ACOK03,13,5
ACOK03,14,4
ACOK03,15,6
ACOK03,16,5
ACOK03,17,7
ACOK03,18,6
ACOK03,19,6
ACOK03,20,6
ACOK03,21,3
ACOK03,22,5
ACOK03,23,6
ACOK03,24,5
ACOK04,4,3
ACOK04,5,5
ACOK04,6,5
ACOK04,7,8
ACOK04,8,5
ACOK04,9,4
ACOK04,10,5
ACOK04,11,6
ACOK04,12,6
ACOK04,13,5
ACOK04,14,5
ACOK04,15,4
ACOK04,16,6
ACOK04,17,5
ACOK04,18,5
ACOK04,19,6
ACOK04,20,7
ACOK04,21,4
ACOK04,22,5
ACOK04,23,4
ACOK04,24,6
ACOK05,4,4
ACOK05,5,6
ACOK05,6,5
ACOK05,7,5
ACOK05,8,5
ACOK05,9,5
ACOK05,10,6
ACOK05,11,4
ACOK05,12,5
ACOK05,13,8
ACOK05,14,2
ACOK05,15,5
ACOK05,16,5
ACOK05,17,4
ACOK05,18,5
ACOK05,19,6
ACOK05,20,5
ACOK05,21,4
ACOK05,22,6
ACOK05,23,6
ACOK05,24,5
ACOK06,4,4
ACOK06,5,5
ACOK06,6,4
ACOK06,7,5
ACOK06,8,5
ACOK06,9,6
ACOK06,10,7
ACOK06,11,7
ACOK06,12,7
ACOK06,13,1
ACOK06,14,6
ACOK06,15,6
ACOK06,16,5
ACOK06,17,5
ACOK06,18,6
ACOK06,19,6
ACOK06,20,6
ACOK06,21,6
ACOK06,22,6
ACOK06,23,6
ACOK06,24,5
ACOK07,4,3
ACOK07,5,6
ACOK07,6,6
ACOK07,7,5
ACOK07,8,8
ACOK07,9,5
ACOK07,10,5
ACOK07,11,3
ACOK07,12,5
ACOK07,13,9
ACOK07,14,6
ACOK07,15,7
ACOK07,16,6
ACOK07,17,6
ACOK07,18,9
ACOK07,19,6
ACOK07,20,5
ACOK07,21,6
ACOK07,22,6
ACOK08,4,5
ACOK08,5,5
ACOK08,6,6
ACOK08,7,6
ACOK08,8,6
ACOK08,9,6
ACOK08,10,7
ACOK08,11,5
ACOK08,12,6
ACOK08,13,5
ACOK08,14,6
ACOK08,15,5
ACOK08,16,6
ACOK08,17,1
ACOK08,18,7
ACOK08,19,10
ACOK08,20,6
ACOK08,21,7
ACOK08,22,7
ACOK08,23,7
ACOK09,4,4
ACOK09,5,7
ACOK09,6,6
ACOK09,7,5
ACOK09,8,5
ACOK09,9,6
ACOK09,10,6
ACOK09,11,6
ACOK09,12,5
ACOK09,13,6
ACOK09,14,6
ACOK09,15,5
ACOK09,16,5
ACOK09,17,4
ACOK09,18,6
ACOK09,19,6
ACOK09,20,6
ACOK09,21,5
ACOK09,22,6
ACOK09,23,5
ACOK09,24,5
ACOK10,4,5
ACOK10,5,6
ACOK10,6,6
ACOK10,7,4
ACOK10,8,5
ACOK10,9,5
ACOK10,10,7
ACOK10,11,5
ACOK10,12,6
ACOK10,13,3
ACOK10,14,4
ACOK10,15,6
ACOK10,16,6
ACOK10,17,6
ACOK10,18,5
ACOK10,19,5
ACOK10,20,6
ACOK10,21,6
ACOK10,22,7
ACOK10,23,6
ACOK10,24,6
ACOK11,4,3
ACOK11,5,10
ACOK11,6,6
ACOK11,7,5
ACOK11,8,2
ACOK11,9,5
ACOK11,10,6
ACOK11,11,4
ACOK11,12,6
ACOK11,13,4
ACOK11,14,6
ACOK11,15,6
ACOK11,16,6
ACOK11,17,6
ACOK11,18,7
ACOK11,19,6
ACOK11,20,7
ACOK11,21,6
ACOK11,22,7
ACOK11,23,5
ACOK12,4,4
ACOK12,5,5
ACOK12,6,6
ACOK12,7,6
ACOK12,8,5
ACOK12,9,6
ACOK12,10,7
ACOK12,11,6
ACOK12,12,6
ACOK12,13,5
ACOK12,14,5
ACOK12,15,5
ACOK12,16,3
ACOK12,17,10
ACOK12,18,6
ACOK12,19,6
ACOK12,20,3
ACOK12,21,6
ACOK12,22,3
ACOK12,23,6
ACOK13,4,5
ACOK13,5,6
ACOK13,6,5
ACOK13,7,6
ACOK13,8,6
ACOK13,9,6
ACOK13,10,6
ACOK13,11,6
ACOK13,12,6
ACOK13,13,5
ACOK13,14,7
ACOK13,15,5
ACOK13,16,6
ACOK13,17,7
ACOK13,18,1
ACOK13,19,7
ACOK13,20,5
ACOK13,21,6
ACOK13,22,6
ACOK13,23,7
ACOK13,24,5
ACOK14,4,5
ACOK14,5,4
ACOK14,6,4
ACOK14,7,10
ACOK14,8,4
ACOK14,9,6
ACOK14,10,2
ACOK14,11,5
ACOK14,12,6
ACOK14,13,4
ACOK14,14,5
ACOK14,15,3
ACOK14,16,4
ACOK14,17,5
ACOK14,18,6
ACOK14,19,6
ACOK14,20,6
ACOK14,21,6
ACOK14,22,5
ACOK14,23,5
ACOK14,24,6
ACOK15,4,1
ACOK15,5,4
ACOK15,6,5
ACOK15,7,7
ACOK15,8,5
ACOK15,9,7
ACOK15,10,5
ACOK15,11,4
ACOK15,12,7
ACOK15,13,6
ACOK15,14,6
ACOK15,15,5
ACOK15,16,5
ACOK15,17,6
ACOK15,18,5
ACOK15,19,7
ACOK15,20,7
ACOK15,21,7
ACOK15,22,6
ACOK15,23,7
ACOK15,24,6
ACOK16,4,5
ACOK16,5,6
ACOK16,6,6
ACOK16,7,6
ACOK16,8,5
ACOK16,9,7
ACOK16,10,6
ACOK16,11,6
ACOK16,12,5
ACOK16,13,9
ACOK16,14,3
ACOK16,15,6
ACOK16,16,6
ACOK16,17,5
ACOK16,18,6
ACOK16,19,6
ACOK16,20,6
ACOK16,21,6
ACOK16,22,5
ACOK16,23,7
ACOK17,5,4
ACOK17,6,6
ACOK17,7,10
ACOK17,8,5
ACOK17,9,6
ACOK17,10,5
ACOK17,11,7
ACOK17,12,5
ACOK17,13,6
ACOK17,14,5
ACOK17,15,6
ACOK17,16,5
ACOK17,17,6
ACOK17,18,6
ACOK17,19,4
ACOK17,20,5
ACOK17,21,6
ACOK17,22,6
ACOK17,23,6
ACOK17,24,7
ACOK17,25,7
ACOK18,4,4
ACOK18,5,6
ACOK18,6,6
ACOK18,7,5
ACOK18,8,5
ACOK18,9,6
ACOK18,10,6
ACOK18,11,5
ACOK18,12,6
ACOK18,13,5
ACOK18,14,8
ACOK18,15,7
ACOK18,16,6
ACOK18,17,6
ACOK18,18,5
ACOK18,19,6
ACOK18,20,7
ACOK18,21,7
ACOK18,22,7
ACOK18,23,6
ACOK18,24,6
ACOK19,4,5
ACOK19,5,5
ACOK19,6,6
ACOK19,7,5
ACOK19,8,5
ACOK19,9,6
ACOK19,10,6
ACOK19,11,6
ACOK19,12,6
ACOK19,13,4
ACOK19,14,6
ACOK19,15,2
ACOK19,16,8
ACOK19,17,5
ACOK19,18,6
ACOK19,19,5
ACOK19,20,6
ACOK19,21,4
ACOK19,22,5
ACOK19,23,7
ACOK19,24,7
ACOK20,4,5
ACOK20,5,3
ACOK20,6,6
ACOK20,7,6
ACOK20,8,7
ACOK20,9,6
ACOK20,10,6
ACOK20,11,3
ACOK20,12,6
ACOK20,13,6
ACOK20,14,5
ACOK20,15,5
ACOK20,16,7
ACOK20,17,6
ACOK20,18,6
ACOK20,19,6
ACOK20,20,6
ACOK20,21,6
ACOK20,22,6
ACOK20,23,4
ACOK20,24,6
ACOK21,4,5
ACOK21,5,6
ACOK21,6,5
ACOK21,7,6
ACOK21,8,6
ACOK21,9,6
ACOK21,10,6
ACOK21,11,6
ACOK21,12,6
ACOK21,13,5
ACOK21,14,5
ACOK21,15,7
ACOK21,16,6
ACOK21,17,9
ACOK21,18,5
ACOK21,19,5
ACOK21,20,5
ACOK21,21,6
ACOK21,22,6
ACOK21,23,6
ACOK21,24,7
ACOK22,4,5
ACOK22,5,6
ACOK22,6,6
ACOK22,7,6
ACOK22,8,5
ACOK22,9,6
ACOK22,10,7
ACOK22,11,5
ACOK22,12,6
ACOK22,13,7
ACOK22,14,10
ACOK22,15,7
ACOK22,16,3
ACOK22,17,6
ACOK22,18,9
ACOK22,19,6
ACOK22,20,3
ACOK22,21,16
ACOK22,22,6
ACOK22,23,8
ACOK23,4,6
ACOK23,5,7
ACOK23,6,6
ACOK23,7,6
ACOK23,8,5
ACOK23,9,7
ACOK23,10,7
ACOK23,11,7
ACOK23,12,6
ACOK23,13,4
ACOK23,14,6
ACOK23,15,6
ACOK23,16,6
ACOK23,17,7
ACOK23,18,6
ACOK23,19,6
ACOK23,20,8
ACOK23,21,7
ACOK23,22,7
ACOK23,23,7
ACOK23,24,7
ACOK24,4,5
ACOK24,5,4
ACOK24,6,6
ACOK24,7,7
ACOK24,8,7
ACOK24,9,7
ACOK24,10,6
ACOK24,11,6
ACOK24,12,3
ACOK24,13,5
ACOK24,14,6
ACOK24,15,7
ACOK24,16,5
ACOK24,17,6
ACOK24,18,6
ACOK24,19,4
ACOK24,20,5
ACOK24,21,7
ACOK24,22,5
ACOK24,23,6
ACOK24,24,7
ACOK25,4,6
ACOK25,5,1
ACOK25,6,6
ACOK25,7,6
ACOK25,8,6
ACOK25,9,5
ACOK25,10,6
ACOK25,11,6
ACOK25,12,6
ACOK25,13,7
ACOK25,14,3
ACOK25,15,1
ACOK25,16,6
ACOK25,17,7
ACOK25,18,4
ACOK25,19,6
ACOK25,20,4
ACOK25,21,6
ACOK25,22,7
ACOK25,23,6
ACOK25,24,8
ACOK26,4,6
ACOK26,5,5
ACOK26,6,7
ACOK26,7,6
ACOK26,8,6
ACOK26,9,7
ACOK26,10,7
ACOK26,11,6
ACOK26,12,8
ACOK26,13,6
ACOK26,14,10
ACOK26,15,5
ACOK26,16,7
ACOK26,17,7
ACOK26,18,7
ACOK26,19,7
ACOK26,20,7
ACOK26,21,8
ACOK26,22,6
ACOK26,23,3
ACOK26,24,7
ACOK27,4,3
ACOK27,5,6
ACOK27,6,4
ACOK27,7,6
ACOK27,8,6
ACOK27,9,5
ACOK27,10,5
ACOK27,11,6
ACOK27,12,6
ACOK27,13,6
ACOK27,14,7
ACOK27,15,4
ACOK27,16,6
ACOK27,17,3
ACOK27,18,6
ACOK27,19,7
ACOK27,20,7
ACOK27,21,6
ACOK27,22,6
ACOK27,23,6
ACOK27,24,5
ACOK28,4,6
ACOK28,5,5
ACOK28,6,6
ACOK28,7,6
ACOK28,8,5
ACOK28,9,2
ACOK28,10,2
ACOK28,11,4
ACOK28,12,2
ACOK28,13,4
ACOK28,14,5
ACOK28,15,5
ACOK28,16,5
ACOK28,17,3
ACOK28,18,6
ACOK28,19,7
ACOK28,20,7
ACOK28,21,7
ACOK29,4,5
ACOK29,5,8
ACOK29,6,6
ACOK29,7,5
ACOK29,8,6
ACOK29,9,6
ACOK29,10,2
ACOK29,11,9
ACOK29,12,8
ACOK29,13,4
ACOK29,14,4
ACOK29,15,8
ACOK29,16,6
ACOK29,17,2
ACOK29,18,8
ACOK29,19,5
ACOK29,20,7
ACOK29,21,6
ACOK29,22,6
ACOK29,23,5
ACOK29,24,7
ACOK30,4,6
ACOK30,5,6
ACOK30,6,6
ACOK30,7,6
ACOK30,8,6
ACOK30,9,7
ACOK30,10,6
ACOK30,11,9
ACOK30,12,8
ACOK30,13,7
ACOK30,14,6
ACOK30,15,7
ACOK30,16,5
ACOK30,17,1
ACOK30,18,8
ACOK30,19,6
ACOK30,20,7
ACOK30,21,5
ACOK30,22,6
ACOK30,23,7
ACOK30,24,7
ACOK31,4,4
ACOK31,5,7
ACOK31,6,8
ACOK31,7,6
ACOK31,8,4
ACOK31,9,7
ACOK31,10,5
ACOK31,11,7
ACOK31,12,5
ACOK31,13,7
ACOK31,14,6
ACOK31,15,6
ACOK31,16,6
ACOK31,17,7
ACOK31,18,6
ACOK31,19,5
ACOK31,20,6
ACOK31,21,7
ACOK31,22,7
ACOK31,23,6
ACOK31,24,11
ACOK32,4,5
ACOK32,5,5
ACOK32,6,7
ACOK32,7,7
ACOK32,8,6
ACOK32,9,5
ACOK32,10,6
ACOK32,11,6
ACOK32,12,6
ACOK32,13,6
ACOK32,14,7
ACOK32,15,7
ACOK32,16,5
ACOK32,17,7
ACOK32,18,6
ACOK32,19,7
ACOK32,20,8
ACOK32,21,7
ACOK32,22,7
ACOK32,23,7
ACOK32,24,5
